Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2010-2011,Bundesliga,Hoffenheim,Tom Starke,de GER,GK,29.0,25.0,25.0,2250.0,25.0,37.0,1.48,136.0,99.0,72.8,10.0,5.0,10.0,7.0,28.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hoffenheim,Daniel Haas,de GER,GK,26.0,9.0,9.0,810.0,9.0,13.0,1.44,41.0,28.0,68.3,1.0,5.0,3.0,1.0,11.1,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hoffenheim,Squad Total,,,23.9,34.0,34.0,3060.0,,50.0,1.47,177.0,127.0,71.8,11.0,10.0,13.0,8.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hoffenheim,Opponent Total,,,25.9,34.0,34.0,,,,,,,,13.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Stuttgart,Sven Ulreich,de GER,GK,21.0,34.0,34.0,3060.0,34.0,59.0,1.74,186.0,127.0,68.3,12.0,6.0,16.0,7.0,20.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Stuttgart,Squad Total,,,24.8,34.0,34.0,3060.0,,59.0,1.74,186.0,127.0,68.3,12.0,6.0,16.0,7.0,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Stuttgart,Opponent Total,,,26.0,34.0,34.0,,,,,,,,16.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Werder Bremen,Tim Wiese,de GER,GK,28.0,29.0,29.0,2608.0,29.0,51.0,1.76,154.0,103.0,66.9,9.0,9.0,10.0,5.0,17.2,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Werder Bremen,Sebastian Mielitz,de GER,GK,21.0,6.0,5.0,452.0,5.0,13.0,2.59,34.0,21.0,61.8,1.0,2.0,3.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Werder Bremen,Squad Total,,,26.6,34.0,34.0,3060.0,,64.0,1.88,188.0,124.0,66.0,10.0,11.0,13.0,5.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Werder Bremen,Opponent Total,,,25.7,34.0,34.0,,,,,,,,13.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
