Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2019-2020,SeriaA,Atalanta,Papu Gómez,ar ARG,"MF,FW",31.0,31.6,2.0,0.0,0.0,19.0,75.0,3.0,233.0,17.0,13.0,0.0,0.0,0.0,,164.0,4.0,17.0,19.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Pierluigi Gollini,it ITA,GK,24.0,32.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,67.0,4.0,3.0,57.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Berat Djimsiti,al ALB,DF,26.0,30.9,5.0,0.0,0.0,32.0,37.0,0.0,3.0,49.0,23.0,0.0,1.0,0.0,,199.0,104.0,45.0,69.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Robin Gosens,de GER,DF,25.0,29.1,3.0,0.0,0.0,30.0,38.0,6.0,74.0,39.0,27.0,0.0,0.0,0.0,,148.0,47.0,23.0,67.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Mario Pašalić,hr CRO,MF,24.0,26.9,6.0,0.0,0.0,34.0,24.0,1.0,13.0,27.0,21.0,0.0,0.0,1.0,,156.0,45.0,51.0,46.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Marten de Roon,nl NED,"MF,DF",28.0,30.2,12.0,0.0,0.0,60.0,20.0,1.0,19.0,46.0,43.0,0.0,2.0,1.0,,187.0,47.0,32.0,59.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Rafael Tolói,it ITA,DF,28.0,29.0,11.0,0.0,0.0,36.0,17.0,2.0,13.0,45.0,29.0,1.0,0.0,0.0,,210.0,49.0,37.0,57.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,José Luis Palomino,ar ARG,DF,29.0,27.6,5.0,0.0,0.0,48.0,19.0,1.0,7.0,61.0,44.0,0.0,1.0,1.0,,199.0,83.0,43.0,65.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Remo Freuler,ch SUI,MF,27.0,26.0,3.0,0.0,0.0,40.0,34.0,0.0,30.0,28.0,30.0,0.0,0.0,0.0,,161.0,14.0,25.0,35.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Hans Hateboer,nl NED,DF,25.0,26.2,10.0,0.0,0.0,44.0,18.0,7.0,76.0,10.0,23.0,0.0,1.0,0.0,,89.0,30.0,27.0,52.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
