Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2018-2019,LaLiga,Leganés,Ezequiel Muñoz,ar ARG,DF,27.0,2.3,0.0,2.0,0.0,0.0,0.85,0.0,0.0,,10.7,0.0,0.0,,0.0,0.2,0.2,0.1,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Dani Ojeda,es ESP,"MF,DF",23.0,2.1,0.0,2.0,1.0,50.0,0.93,0.47,0.0,0.0,12.1,0.0,0.0,,0.0,0.4,0.4,0.19,-0.4,-0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,José Arnaiz,es ESP,"MF,FW",23.0,1.3,0.0,1.0,0.0,0.0,0.8,0.0,0.0,,14.0,0.0,0.0,,0.0,0.1,0.1,0.06,-0.1,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Alexander,ar ARG,FW,29.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Squad Total,,,26.6,38.0,36.0,414.0,128.0,30.9,10.89,3.37,0.08,0.26,17.6,3.0,5.0,,14.0,40.6,36.8,0.09,-4.6,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Opponent Total,,,26.8,38.0,42.0,405.0,130.0,32.1,10.66,3.42,0.1,0.3,19.2,3.0,4.0,,21.0,41.2,37.9,0.1,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Álvaro González,es ESP,DF,28.0,32.9,1.0,14.0,2.0,14.3,0.43,0.06,0.07,0.5,14.8,0.0,0.0,,0.0,1.2,1.2,0.08,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Sergio Asenjo,es ESP,GK,29.0,32.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Santi Cazorla,es ESP,"MF,FW",33.0,29.4,4.0,28.0,8.0,28.6,0.95,0.27,0.07,0.25,22.1,2.0,3.0,,4.0,4.4,2.1,0.07,-0.4,-0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Mario Gaspar,es ESP,DF,27.0,28.9,1.0,25.0,8.0,32.0,0.87,0.28,0.04,0.13,16.9,0.0,0.0,,0.0,1.9,1.9,0.08,-0.9,-0.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Ramiro Funes Mori,ar ARG,"DF,MF",27.0,29.2,2.0,26.0,6.0,23.1,0.89,0.21,0.08,0.33,16.2,0.0,0.0,,0.0,2.4,2.4,0.09,-0.4,-0.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Pablo Fornals,es ESP,"MF,FW",22.0,27.5,2.0,58.0,16.0,27.6,2.11,0.58,0.03,0.13,19.5,0.0,0.0,,0.0,3.7,3.7,0.06,-1.7,-1.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Gerard Moreno,es ESP,FW,26.0,25.7,8.0,70.0,32.0,45.7,2.72,1.24,0.11,0.25,14.4,0.0,1.0,,0.0,12.0,11.2,0.16,-4.0,-3.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Karl Toko Ekambi,cm CMR,"FW,MF",25.0,23.8,10.0,58.0,32.0,55.2,2.43,1.34,0.17,0.31,14.8,0.0,1.0,,0.0,10.6,10.0,0.17,-0.6,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Alfonso Pedraza,es ESP,"DF,FW",22.0,23.3,3.0,36.0,13.0,36.1,1.55,0.56,0.08,0.23,16.3,0.0,0.0,,0.0,3.7,3.7,0.1,-0.7,-0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Víctor Ruiz,es ESP,DF,29.0,21.9,0.0,8.0,1.0,12.5,0.36,0.05,0.0,0.0,10.5,0.0,0.0,,0.0,0.5,0.5,0.07,-0.5,-0.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Samuel Chukwueze,ng NGA,"MF,FW",19.0,19.0,5.0,58.0,23.0,39.7,3.06,1.21,0.09,0.22,18.1,0.0,0.0,,0.0,5.2,5.2,0.09,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Vicente Iborra,es ESP,MF,30.0,18.5,3.0,18.0,7.0,38.9,0.97,0.38,0.17,0.43,13.4,0.0,0.0,,0.0,2.3,2.3,0.13,0.7,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Villarreal,Manu Trigueros,es ESP,MF,26.0,17.2,0.0,18.0,1.0,5.6,1.05,0.06,0.0,0.0,25.5,0.0,0.0,,1.0,1.0,1.0,0.06,-1.0,-1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
