Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,Bundesliga,Dortmund,Łukasz Piszczek,pl POL,DF,34.0,23.4,2205.0,88.0,793.0,1141.0,279.0,20.0,2205.0,19.0,12.0,63.2,7.0,36.8,1285.0,6114.0,2991.0,30.0,22.0,1.0,17.0,8.0,1614.0,53.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Marco Reus,de GER,"MF,FW",30.0,16.6,872.0,16.0,76.0,371.0,439.0,96.0,871.0,46.0,26.0,56.5,20.0,43.5,521.0,2427.0,1093.0,37.0,30.0,9.0,31.0,21.0,647.0,98.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Julian Weigl,de GER,"MF,DF",23.0,11.3,921.0,52.0,267.0,553.0,105.0,6.0,921.0,7.0,5.0,71.4,2.0,28.6,591.0,2729.0,1313.0,11.0,8.0,1.0,6.0,6.0,715.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Erling Haaland,no NOR,FW,19.0,11.8,350.0,8.0,18.0,166.0,170.0,59.0,350.0,23.0,12.0,52.2,11.0,47.8,194.0,1021.0,524.0,22.0,13.0,13.0,26.0,12.0,245.0,69.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Thomas Delaney,dk DEN,MF,27.0,9.2,696.0,30.0,202.0,415.0,80.0,8.0,696.0,5.0,4.0,80.0,1.0,20.0,349.0,1334.0,537.0,9.0,7.0,1.0,8.0,7.0,471.0,6.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Dan-Axel Zagadou,fr FRA,DF,20.0,10.9,947.0,64.0,369.0,559.0,27.0,9.0,947.0,7.0,6.0,85.7,1.0,14.3,582.0,2869.0,1505.0,7.0,6.0,1.0,5.0,3.0,689.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Emre Can,de GER,"MF,DF",25.0,10.6,846.0,34.0,221.0,523.0,109.0,13.0,846.0,21.0,14.0,66.7,7.0,33.3,539.0,2750.0,1332.0,18.0,12.0,0.0,14.0,9.0,637.0,15.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Nico Schulz,de GER,"DF,MF",26.0,6.6,518.0,16.0,121.0,249.0,152.0,14.0,518.0,14.0,9.0,64.3,5.0,35.7,295.0,1401.0,749.0,24.0,14.0,7.0,5.0,7.0,362.0,60.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Mahmoud Dahoud,de GER,MF,23.0,6.2,567.0,13.0,105.0,354.0,111.0,8.0,567.0,13.0,10.0,76.9,3.0,23.1,367.0,1801.0,815.0,7.0,8.0,0.0,11.0,8.0,455.0,11.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Dortmund,Paco Alcácer,es ESP,FW,25.0,5.9,163.0,2.0,9.0,75.0,79.0,26.0,163.0,5.0,2.0,40.0,3.0,60.0,78.0,207.0,55.0,1.0,2.0,1.0,12.0,5.0,110.0,37.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
