Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2010-2011,Bundesliga,Bayern Munich,Thomas Müller,de GER,"FW,MF",20.0,34.0,32.0,2788.0,31.0,12.0,11.0,23.0,12.0,0.0,0.0,2.0,0.0,,,,0.39,0.36,0.74,0.39,0.74,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Bastian Schweinsteiger,de GER,"DF,MF",25.0,32.0,31.0,2728.0,30.3,4.0,6.0,10.0,4.0,0.0,1.0,6.0,0.0,,,,0.13,0.2,0.33,0.13,0.33,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Mario Gómez,de GER,FW,25.0,32.0,27.0,2443.0,27.1,28.0,2.0,30.0,27.0,1.0,2.0,2.0,0.0,,,,1.03,0.07,1.11,0.99,1.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Anatoliy Tymoshchuk,ua UKR,"DF,MF",31.0,26.0,23.0,1992.0,22.1,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,,,,0.14,0.05,0.18,0.14,0.18,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Hans-Jörg Butt,de GER,GK,36.0,23.0,22.0,2025.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Danijel Pranjić,hr CRO,"DF,MF",28.0,28.0,22.0,1997.0,22.2,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.18,0.18,0.0,0.18,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"FW,MF",27.0,25.0,22.0,1965.0,21.8,7.0,12.0,19.0,7.0,0.0,0.0,5.0,0.0,,,,0.32,0.55,0.87,0.32,0.87,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Holger Badstuber,de GER,DF,21.0,23.0,21.0,1845.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Toni Kroos,de GER,MF,20.0,27.0,19.0,1727.0,19.2,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,,,,0.05,0.16,0.21,0.05,0.21,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Daniel Van Buyten,be BEL,DF,32.0,21.0,18.0,1602.0,17.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,,,0.11,0.0,0.11,0.11,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Arjen Robben,nl NED,"FW,MF",26.0,14.0,13.0,1130.0,12.6,12.0,8.0,20.0,12.0,0.0,0.0,3.0,1.0,,,,0.96,0.64,1.59,0.96,1.59,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Luiz Gustavo,br BRA,"DF,MF",23.0,14.0,13.0,1069.0,11.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,0.08,0.0,0.08,0.08,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Diego Contento,de GER,DF,20.0,14.0,12.0,1109.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Mark van Bommel,nl NED,MF,33.0,13.0,12.0,1089.0,12.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.08,0.08,0.0,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Thomas Kraft,de GER,GK,22.0,12.0,12.0,1035.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Bayern Munich,Andreas Ottl,de GER,MF,25.0,15.0,9.0,918.0,10.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.1,0.1,0.0,0.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
