Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,EPL,Everton,Lucas Digne,fr FRA,DF,26.0,33.7,2376.0,99.0,631.0,921.0,842.0,52.0,2376.0,36.0,23.0,63.9,13.0,36.1,1009.0,4362.0,2418.0,69.0,54.0,6.0,28.0,24.0,1112.0,251.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Dominic Calvert-Lewin,eng ENG,FW,22.0,29.2,922.0,42.0,76.0,391.0,466.0,134.0,922.0,27.0,14.0,51.9,13.0,48.1,511.0,2568.0,951.0,40.0,28.0,16.0,98.0,23.0,736.0,156.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Gylfi Sigurðsson,is ISL,MF,29.0,28.4,1431.0,37.0,218.0,730.0,491.0,50.0,1430.0,30.0,16.0,53.3,14.0,46.7,720.0,2908.0,969.0,27.0,25.0,9.0,41.0,26.0,844.0,73.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Michael Keane,eng ENG,DF,26.0,28.4,1778.0,295.0,991.0,751.0,45.0,33.0,1778.0,1.0,1.0,100.0,0.0,0.0,992.0,4975.0,2648.0,9.0,1.0,1.0,7.0,4.0,1078.0,3.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Yerry Mina,co COL,DF,24.0,25.4,1632.0,226.0,906.0,662.0,73.0,48.0,1632.0,8.0,6.0,75.0,2.0,25.0,980.0,5913.0,3160.0,11.0,8.0,0.0,7.0,0.0,986.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Mason Holgate,eng ENG,DF,22.0,22.8,1319.0,169.0,706.0,577.0,45.0,16.0,1319.0,12.0,10.0,83.3,2.0,16.7,767.0,4387.0,2522.0,18.0,12.0,1.0,8.0,6.0,790.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Tom Davies,eng ENG,MF,21.0,22.5,1119.0,42.0,256.0,682.0,197.0,23.0,1119.0,30.0,21.0,70.0,9.0,30.0,611.0,3046.0,1486.0,24.0,29.0,1.0,28.0,20.0,698.0,32.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Séamus Coleman,ie IRL,DF,30.0,20.4,1322.0,80.0,414.0,606.0,316.0,28.0,1322.0,58.0,38.0,65.5,20.0,34.5,691.0,3894.0,2055.0,49.0,38.0,7.0,35.0,14.0,692.0,93.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Alex Iwobi,ng NGA,"MF,FW",23.0,17.7,794.0,16.0,116.0,351.0,341.0,47.0,794.0,52.0,32.0,61.5,20.0,38.5,534.0,3317.0,1800.0,60.0,55.0,12.0,35.0,17.0,542.0,84.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Everton,Djibril Sidibé,fr FRA,"DF,MF",27.0,20.3,1469.0,54.0,417.0,673.0,394.0,20.0,1469.0,25.0,14.0,56.0,11.0,44.0,778.0,3682.0,2009.0,61.0,43.0,4.0,28.0,12.0,810.0,102.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
